periodo,destino,exportaciones_musd,continente,subregion,pais
2016-05-01,América. América del Norte. Estados Unidos,646.53263279,América,América del Norte,Estados Unidos
2016-06-01,América. América del Norte. Estados Unidos,700.5226643,América,América del Norte,Estados Unidos
2016-07-01,América. América del Norte. Estados Unidos,583.47275335,América,América del Norte,Estados Unidos
2016-08-01,América. América del Norte. Estados Unidos,698.92988338,América,América del Norte,Estados Unidos
2016-09-01,América. América del Norte. Estados Unidos,631.59031712,América,América del Norte,Estados Unidos
2016-10-01,América. América del Norte. Estados Unidos,597.68447235,América,América del Norte,Estados Unidos
2016-11-01,América. América del Norte. Estados Unidos,601.1180531,América,América del Norte,Estados Unidos
2016-12-01,América. América del Norte. Estados Unidos,864.02686838,América,América del Norte,Estados Unidos
2017-01-01,América. América del Norte. Estados Unidos,846.2325216,América,América del Norte,Estados Unidos
2017-02-01,América. América del Norte. Estados Unidos,837.39510472,América,América del Norte,Estados Unidos
2017-03-01,América. América del Norte. Estados Unidos,952.67752226,América,América del Norte,Estados Unidos
2017-04-01,América. América del Norte. Estados Unidos,804.76727587,América,América del Norte,Estados Unidos
2017-05-01,América. América del Norte. Estados Unidos,879.20735747,América,América del Norte,Estados Unidos
2017-06-01,América. América del Norte. Estados Unidos,785.34707436,América,América del Norte,Estados Unidos
2017-07-01,América. América del Norte. Estados Unidos,794.89184883,América,América del Norte,Estados Unidos
2017-08-01,América. América del Norte. Estados Unidos,932.46152865,América,América del Norte,Estados Unidos
2017-09-01,América. América del Norte. Estados Unidos,787.07247814,América,América del Norte,Estados Unidos
2017-10-01,América. América del Norte. Estados Unidos,732.0399901,América,América del Norte,Estados Unidos
2017-11-01,América. América del Norte. Estados Unidos,691.37933221,América,América del Norte,Estados Unidos
2017-12-01,América. América del Norte. Estados Unidos,945.40726935,América,América del Norte,Estados Unidos
2018-01-01,América. América del Norte. Estados Unidos,1076.2700805,América,América del Norte,Estados Unidos
2018-02-01,América. América del Norte. Estados Unidos,1110.2319827,América,América del Norte,Estados Unidos
2018-03-01,América. América del Norte. Estados Unidos,1033.7762903,América,América del Norte,Estados Unidos
2018-04-01,América. América del Norte. Estados Unidos,930.47751436,América,América del Norte,Estados Unidos
2018-05-01,América. América del Norte. Estados Unidos,786.98103014,América,América del Norte,Estados Unidos
2018-06-01,América. América del Norte. Estados Unidos,844.68947634,América,América del Norte,Estados Unidos
2018-07-01,América. América del Norte. Estados Unidos,810.14682651,América,América del Norte,Estados Unidos
2018-08-01,América. América del Norte. Estados Unidos,850.79733106,América,América del Norte,Estados Unidos
2018-09-01,América. América del Norte. Estados Unidos,701.41740781,América,América del Norte,Estados Unidos
2018-10-01,América. América del Norte. Estados Unidos,807.34996654,América,América del Norte,Estados Unidos
2018-11-01,América. América del Norte. Estados Unidos,650.6241077,América,América del Norte,Estados Unidos
2018-12-01,América. América del Norte. Estados Unidos,751.79412232,América,América del Norte,Estados Unidos
2019-01-01,América. América del Norte. Estados Unidos,826.70365581,América,América del Norte,Estados Unidos
2019-02-01,América. América del Norte. Estados Unidos,829.19429089,América,América del Norte,Estados Unidos
2019-03-01,América. América del Norte. Estados Unidos,1022.3334955,América,América del Norte,Estados Unidos
2019-04-01,América. América del Norte. Estados Unidos,906.48920317,América,América del Norte,Estados Unidos
2019-05-01,América. América del Norte. Estados Unidos,821.82269122,América,América del Norte,Estados Unidos
2019-06-01,América. América del Norte. Estados Unidos,836.9845488,América,América del Norte,Estados Unidos
2019-07-01,América. América del Norte. Estados Unidos,715.31467151,América,América del Norte,Estados Unidos
2019-08-01,América. América del Norte. Estados Unidos,829.96953295,América,América del Norte,Estados Unidos
2019-09-01,América. América del Norte. Estados Unidos,792.10180456,América,América del Norte,Estados Unidos
2019-10-01,América. América del Norte. Estados Unidos,613.33129945,América,América del Norte,Estados Unidos
2019-11-01,América. América del Norte. Estados Unidos,672.30104136,América,América del Norte,Estados Unidos
2019-12-01,América. América del Norte. Estados Unidos,718.1673088,América,América del Norte,Estados Unidos
2020-01-01,América. América del Norte. Estados Unidos,772.16984883,América,América del Norte,Estados Unidos
2020-02-01,América. América del Norte. Estados Unidos,856.43238495,América,América del Norte,Estados Unidos
2020-03-01,América. América del Norte. Estados Unidos,947.33835208,América,América del Norte,Estados Unidos
2020-04-01,América. América del Norte. Estados Unidos,963.23141313,América,América del Norte,Estados Unidos
2020-05-01,América. América del Norte. Estados Unidos,778.77712758,América,América del Norte,Estados Unidos
2020-06-01,América. América del Norte. Estados Unidos,802.89131339,América,América del Norte,Estados Unidos
2020-07-01,América. América del Norte. Estados Unidos,786.6702124,América,América del Norte,Estados Unidos
2020-08-01,América. América del Norte. Estados Unidos,709.90008508,América,América del Norte,Estados Unidos
2020-09-01,América. América del Norte. Estados Unidos,707.12460603,América,América del Norte,Estados Unidos
2020-10-01,América. América del Norte. Estados Unidos,816.8802402,América,América del Norte,Estados Unidos
